Party_ID,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25
50Plus,4,4,4,1,5,2,2,1,3,2,5,5,2,4,2,2,4,5,1,2,4,5,5,3,99
CDA,4,4,1,5,4,4,2,4,3,4,5,4,2,3,3,4,2,5,5,1,4,2,4,4,4
CU,4,4,1,4,4,4,1,5,4,5,5,4,2,3,1,2,5,5,4,1,5,2,4,4,4
D66,5,2,1,5,4,3,4,1,4,1,5,2,2,3,2,4,5,2,2,1,4,1,2,2,5
GL,5,2,1,4,2,1,1,1,4,1,5,2,2,2,1,1,5,2,4,4,4,5,4,1,5
PvdA,5,4,1,3,4,1,2,2,4,2,5,4,3,3,2,2,4,2,4,2,4,5,5,1,5
PvdD,5,4,1,2,2,2,4,2,4,1,4,5,2,3,1,1,5,5,2,4,4,5,4,1,99
PVV,1,1,5,1,4,4,99,3,1,4,1,5,1,5,4,4,2,3,1,1,5,5,4,4,1
SGP,4,2,3,4,4,4,4,5,2,5,4,4,1,4,2,4,2,3,5,1,4,2,3,2,2
SP,5,2,2,1,4,4,4,4,4,1,4,4,2,3,1,2,4,5,2,4,4,5,5,2,5
VVD,4,4,4,5,4,4,5,1,3,3,5,3,2,4,4,4,2,1,5,1,4,1,2,5,3
DENK,3,4,1,4,4,5,1,4,5,2,4,2,4,2,2,2,5,5,5,4,4,5,4,1,5
VNL,3,5,5,4,3,4,4,1,1,2,2,4,1,5,4,3,2,2,1,1,4,2,4,5,2
FvD,4,1,5,4,3,99,5,1,3,1,1,5,2,5,99,4,3,5,1,1,3,2,4,3,2
